PA,SZ,TOD,Pop,Time
Queenstown,Holland Drive,Condominiums and Other Apartments,0,2011
Queenstown,Holland Drive,Others,80,2011
Queenstown,Kent Ridge,HDB 1- and 2-Room Flats,0,2011
Queenstown,Kent Ridge,HDB 3-Room Flats,0,2011
Queenstown,Kent Ridge,HDB 4-Room Flats,0,2011
Queenstown,Kent Ridge,HDB 5-Room and Executive Flats,0,2011
Queenstown,Kent Ridge,HUDC Flats (excluding those privatised),0,2011
Queenstown,Kent Ridge,Landed Properties,80,2011
Queenstown,Kent Ridge,Condominiums and Other Apartments,1160,2011
Queenstown,Kent Ridge,Others,20,2011
Queenstown,Margaret Drive,HDB 1- and 2-Room Flats,210,2011
Queenstown,Margaret Drive,HDB 3-Room Flats,380,2011
Queenstown,Margaret Drive,HDB 4-Room Flats,5630,2011
Queenstown,Margaret Drive,HDB 5-Room and Executive Flats,2930,2011
Queenstown,Margaret Drive,HUDC Flats (excluding those privatised),0,2011
Queenstown,Margaret Drive,Landed Properties,20,2011
Queenstown,Margaret Drive,Condominiums and Other Apartments,10,2011
Queenstown,Margaret Drive,Others,20,2011
Queenstown,Mei Chin,HDB 1- and 2-Room Flats,1820,2011
Queenstown,Mei Chin,HDB 3-Room Flats,6400,2011
Queenstown,Mei Chin,HDB 4-Room Flats,3060,2011
Queenstown,Mei Chin,HDB 5-Room and Executive Flats,2990,2011
Queenstown,Mei Chin,HUDC Flats (excluding those privatised),0,2011
Queenstown,Mei Chin,Landed Properties,210,2011
Queenstown,Mei Chin,Condominiums and Other Apartments,2660,2011
Queenstown,Mei Chin,Others,160,2011
Queenstown,National University Of S'pore,HDB 1- and 2-Room Flats,0,2011
Queenstown,National University Of S'pore,HDB 3-Room Flats,0,2011
Queenstown,National University Of S'pore,HDB 4-Room Flats,0,2011
Queenstown,National University Of S'pore,HDB 5-Room and Executive Flats,0,2011
Queenstown,National University Of S'pore,HUDC Flats (excluding those privatised),0,2011
Queenstown,National University Of S'pore,Landed Properties,0,2011
Queenstown,National University Of S'pore,Condominiums and Other Apartments,0,2011
Queenstown,National University Of S'pore,Others,260,2011
Queenstown,One North,HDB 1- and 2-Room Flats,0,2011
Queenstown,One North,HDB 3-Room Flats,0,2011
Queenstown,One North,HDB 4-Room Flats,0,2011
Queenstown,One North,HDB 5-Room and Executive Flats,0,2011
Queenstown,One North,HUDC Flats (excluding those privatised),0,2011
Queenstown,One North,Landed Properties,60,2011
Queenstown,One North,Condominiums and Other Apartments,360,2011
Queenstown,One North,Others,40,2011
Queenstown,Pasir Panjang 1,HDB 1- and 2-Room Flats,0,2011
Queenstown,Pasir Panjang 1,HDB 3-Room Flats,0,2011
Queenstown,Pasir Panjang 1,HDB 4-Room Flats,0,2011
Queenstown,Pasir Panjang 1,HDB 5-Room and Executive Flats,0,2011
Queenstown,Pasir Panjang 1,HUDC Flats (excluding those privatised),0,2011
Queenstown,Pasir Panjang 1,Landed Properties,1420,2011
Queenstown,Pasir Panjang 1,Condominiums and Other Apartments,2180,2011
Queenstown,Pasir Panjang 1,Others,110,2011
Queenstown,Pasir Panjang 2,HDB 1- and 2-Room Flats,0,2011
Queenstown,Pasir Panjang 2,HDB 3-Room Flats,0,2011
Queenstown,Pasir Panjang 2,HDB 4-Room Flats,0,2011
Queenstown,Pasir Panjang 2,HDB 5-Room and Executive Flats,0,2011
Queenstown,Pasir Panjang 2,HUDC Flats (excluding those privatised),0,2011
Queenstown,Pasir Panjang 2,Landed Properties,1780,2011
Queenstown,Pasir Panjang 2,Condominiums and Other Apartments,1580,2011
Queenstown,Pasir Panjang 2,Others,50,2011
Queenstown,Port,HDB 1- and 2-Room Flats,0,2011
Queenstown,Port,HDB 3-Room Flats,0,2011
Queenstown,Port,HDB 4-Room Flats,0,2011
Queenstown,Port,HDB 5-Room and Executive Flats,0,2011
Queenstown,Port,HUDC Flats (excluding those privatised),0,2011
Queenstown,Port,Landed Properties,100,2011
Queenstown,Port,Condominiums and Other Apartments,0,2011
Queenstown,Port,Others,160,2011
Queenstown,Queensway,HDB 1- and 2-Room Flats,0,2011
Queenstown,Queensway,HDB 3-Room Flats,0,2011
Queenstown,Queensway,HDB 4-Room Flats,0,2011
Queenstown,Queensway,HDB 5-Room and Executive Flats,0,2011
Queenstown,Queensway,HUDC Flats (excluding those privatised),0,2011
Queenstown,Queensway,Landed Properties,30,2011
Queenstown,Queensway,Condominiums and Other Apartments,240,2011
Queenstown,Queensway,Others,10,2011
Queenstown,Singapore Polytechnic,HDB 1- and 2-Room Flats,0,2011
Queenstown,Singapore Polytechnic,HDB 3-Room Flats,0,2011
Queenstown,Singapore Polytechnic,HDB 4-Room Flats,0,2011
Queenstown,Singapore Polytechnic,HDB 5-Room and Executive Flats,0,2011
Queenstown,Singapore Polytechnic,HUDC Flats (excluding those privatised),0,2011
Queenstown,Singapore Polytechnic,Landed Properties,0,2011
Queenstown,Singapore Polytechnic,Condominiums and Other Apartments,0,2011
Queenstown,Singapore Polytechnic,Others,140,2011
Queenstown,Tanglin Halt,HDB 1- and 2-Room Flats,1880,2011
Queenstown,Tanglin Halt,HDB 3-Room Flats,9290,2011
Queenstown,Tanglin Halt,HDB 4-Room Flats,2430,2011
Queenstown,Tanglin Halt,HDB 5-Room and Executive Flats,430,2011
Queenstown,Tanglin Halt,HUDC Flats (excluding those privatised),0,2011
Queenstown,Tanglin Halt,Landed Properties,0,2011
Queenstown,Tanglin Halt,Condominiums and Other Apartments,0,2011
Queenstown,Tanglin Halt,Others,100,2011
River Valley,Institution Hill,HDB 1- and 2-Room Flats,0,2011
River Valley,Institution Hill,HDB 3-Room Flats,0,2011
River Valley,Institution Hill,HDB 4-Room Flats,0,2011
River Valley,Institution Hill,HDB 5-Room and Executive Flats,0,2011
River Valley,Institution Hill,HUDC Flats (excluding those privatised),0,2011
River Valley,Institution Hill,Landed Properties,40,2011
River Valley,Institution Hill,Condominiums and Other Apartments,2720,2011
River Valley,Institution Hill,Others,30,2011
River Valley,Leonie Hill,HDB 1- and 2-Room Flats,0,2011
River Valley,Leonie Hill,HDB 3-Room Flats,0,2011
River Valley,Leonie Hill,HDB 4-Room Flats,0,2011
River Valley,Leonie Hill,HDB 5-Room and Executive Flats,0,2011
River Valley,Leonie Hill,HUDC Flats (excluding those privatised),0,2011
River Valley,Leonie Hill,Landed Properties,60,2011
River Valley,Leonie Hill,Condominiums and Other Apartments,2190,2011
River Valley,Leonie Hill,Others,100,2011
River Valley,One Tree Hill,HDB 1- and 2-Room Flats,0,2011
River Valley,One Tree Hill,HDB 3-Room Flats,0,2011
River Valley,One Tree Hill,HDB 4-Room Flats,0,2011
River Valley,One Tree Hill,HDB 5-Room and Executive Flats,0,2011
River Valley,One Tree Hill,HUDC Flats (excluding those privatised),0,2011
River Valley,One Tree Hill,Landed Properties,600,2011
River Valley,One Tree Hill,Condominiums and Other Apartments,1120,2011
River Valley,One Tree Hill,Others,20,2011
River Valley,Oxley,HDB 1- and 2-Room Flats,0,2011
River Valley,Oxley,HDB 3-Room Flats,0,2011
River Valley,Oxley,HDB 4-Room Flats,0,2011
River Valley,Oxley,HDB 5-Room and Executive Flats,0,2011
River Valley,Oxley,HUDC Flats (excluding those privatised),0,2011
River Valley,Oxley,Landed Properties,130,2011
River Valley,Oxley,Condominiums and Other Apartments,1200,2011
River Valley,Oxley,Others,60,2011
River Valley,Paterson,HDB 1- and 2-Room Flats,0,2011
River Valley,Paterson,HDB 3-Room Flats,0,2011
River Valley,Paterson,HDB 4-Room Flats,0,2011
River Valley,Paterson,HDB 5-Room and Executive Flats,0,2011
River Valley,Paterson,HUDC Flats (excluding those privatised),0,2011
River Valley,Paterson,Landed Properties,10,2011
River Valley,Paterson,Condominiums and Other Apartments,100,2011
River Valley,Paterson,Others,20,2011
Rochor,Bencoolen,HDB 1- and 2-Room Flats,50,2011
Rochor,Bencoolen,HDB 3-Room Flats,990,2011
Rochor,Bencoolen,HDB 4-Room Flats,120,2011
Rochor,Bencoolen,HDB 5-Room and Executive Flats,0,2011
Rochor,Bencoolen,HUDC Flats (excluding those privatised),0,2011
Rochor,Bencoolen,Landed Properties,0,2011
Rochor,Bencoolen,Condominiums and Other Apartments,330,2011
Rochor,Bencoolen,Others,50,2011
Rochor,Farrer Park,HDB 1- and 2-Room Flats,0,2011
Rochor,Farrer Park,HDB 3-Room Flats,370,2011
Rochor,Farrer Park,HDB 4-Room Flats,2140,2011
Rochor,Farrer Park,HDB 5-Room and Executive Flats,440,2011
Rochor,Farrer Park,HUDC Flats (excluding those privatised),0,2011
Rochor,Farrer Park,Landed Properties,60,2011
Rochor,Farrer Park,Condominiums and Other Apartments,120,2011
Rochor,Farrer Park,Others,320,2011
Rochor,Kampong Glam,HDB 1- and 2-Room Flats,0,2011
Rochor,Kampong Glam,HDB 3-Room Flats,0,2011
Rochor,Kampong Glam,HDB 4-Room Flats,0,2011
Rochor,Kampong Glam,HDB 5-Room and Executive Flats,0,2011
Rochor,Kampong Glam,HUDC Flats (excluding those privatised),0,2011
Rochor,Kampong Glam,Landed Properties,10,2011
Rochor,Kampong Glam,Condominiums and Other Apartments,20,2011
Rochor,Kampong Glam,Others,140,2011
Rochor,Little India,HDB 1- and 2-Room Flats,0,2011
Rochor,Little India,HDB 3-Room Flats,1530,2011
Rochor,Little India,HDB 4-Room Flats,1770,2011
Rochor,Little India,HDB 5-Room and Executive Flats,300,2011
Rochor,Little India,HUDC Flats (excluding those privatised),0,2011
Rochor,Little India,Landed Properties,50,2011
Rochor,Little India,Condominiums and Other Apartments,100,2011
Rochor,Little India,Others,380,2011
Rochor,Mackenzie,HDB 1- and 2-Room Flats,0,2011
Rochor,Mackenzie,HDB 3-Room Flats,0,2011
Rochor,Mackenzie,HDB 4-Room Flats,0,2011
Rochor,Mackenzie,HDB 5-Room and Executive Flats,0,2011
Rochor,Mackenzie,HUDC Flats (excluding those privatised),0,2011
Rochor,Mackenzie,Landed Properties,0,2011
Rochor,Mackenzie,Condominiums and Other Apartments,0,2011
Rochor,Mackenzie,Others,0,2011
Rochor,Mount Emily,HDB 1- and 2-Room Flats,0,2011
Rochor,Mount Emily,HDB 3-Room Flats,0,2011
Rochor,Mount Emily,HDB 4-Room Flats,0,2011
Rochor,Mount Emily,HDB 5-Room and Executive Flats,0,2011
Rochor,Mount Emily,HUDC Flats (excluding those privatised),0,2011
Rochor,Mount Emily,Landed Properties,100,2011
Rochor,Mount Emily,Condominiums and Other Apartments,790,2011
Rochor,Mount Emily,Others,80,2011
Rochor,Rochor Canal,HDB 1- and 2-Room Flats,0,2011
Rochor,Rochor Canal,HDB 3-Room Flats,0,2011
Rochor,Rochor Canal,HDB 4-Room Flats,0,2011
Rochor,Rochor Canal,HDB 5-Room and Executive Flats,0,2011
Rochor,Rochor Canal,HUDC Flats (excluding those privatised),0,2011
Rochor,Rochor Canal,Landed Properties,0,2011
Rochor,Rochor Canal,Condominiums and Other Apartments,0,2011
Rochor,Rochor Canal,Others,0,2011
Rochor,Selegie,HDB 1- and 2-Room Flats,0,2011
Rochor,Selegie,HDB 3-Room Flats,0,2011
Rochor,Selegie,HDB 4-Room Flats,0,2011
Rochor,Selegie,HDB 5-Room and Executive Flats,0,2011
Rochor,Selegie,HUDC Flats (excluding those privatised),0,2011
Rochor,Selegie,Landed Properties,30,2011
Rochor,Selegie,Condominiums and Other Apartments,250,2011
Rochor,Selegie,Others,20,2011
Rochor,Sungei Road,HDB 1- and 2-Room Flats,730,2011
Rochor,Sungei Road,HDB 3-Room Flats,1220,2011
Rochor,Sungei Road,HDB 4-Room Flats,450,2011
Rochor,Sungei Road,HDB 5-Room and Executive Flats,50,2011
Rochor,Sungei Road,HUDC Flats (excluding those privatised),0,2011
Rochor,Sungei Road,Landed Properties,0,2011
Rochor,Sungei Road,Condominiums and Other Apartments,10,2011
Rochor,Sungei Road,Others,50,2011
Rochor,Victoria,HDB 1- and 2-Room Flats,0,2011
Rochor,Victoria,HDB 3-Room Flats,1400,2011
Rochor,Victoria,HDB 4-Room Flats,620,2011
Rochor,Victoria,HDB 5-Room and Executive Flats,60,2011
Rochor,Victoria,HUDC Flats (excluding those privatised),0,2011
Rochor,Victoria,Landed Properties,0,2011
Rochor,Victoria,Condominiums and Other Apartments,160,2011
Rochor,Victoria,Others,80,2011
Seletar,Pulau Punggol Barat,HDB 1- and 2-Room Flats,0,2011
Seletar,Pulau Punggol Barat,HDB 3-Room Flats,0,2011
Seletar,Pulau Punggol Barat,HDB 4-Room Flats,0,2011
Seletar,Pulau Punggol Barat,HDB 5-Room and Executive Flats,0,2011
Seletar,Pulau Punggol Barat,HUDC Flats (excluding those privatised),0,2011
Seletar,Pulau Punggol Barat,Landed Properties,0,2011
Seletar,Pulau Punggol Barat,Condominiums and Other Apartments,0,2011
Seletar,Pulau Punggol Barat,Others,0,2011
Seletar,Pulau Punggol Timor,HDB 1- and 2-Room Flats,0,2011
Seletar,Pulau Punggol Timor,HDB 3-Room Flats,0,2011
Seletar,Pulau Punggol Timor,HDB 4-Room Flats,0,2011
Seletar,Pulau Punggol Timor,HDB 5-Room and Executive Flats,0,2011
Seletar,Pulau Punggol Timor,HUDC Flats (excluding those privatised),0,2011
Seletar,Pulau Punggol Timor,Landed Properties,0,2011
Seletar,Pulau Punggol Timor,Condominiums and Other Apartments,0,2011
Seletar,Pulau Punggol Timor,Others,0,2011
Seletar,Seletar,HDB 1- and 2-Room Flats,0,2011
Seletar,Seletar,HDB 3-Room Flats,0,2011
Seletar,Seletar,HDB 4-Room Flats,0,2011
Seletar,Seletar,HDB 5-Room and Executive Flats,0,2011
Seletar,Seletar,HUDC Flats (excluding those privatised),0,2011
Seletar,Seletar,Landed Properties,280,2011
Seletar,Seletar,Condominiums and Other Apartments,0,2011
Seletar,Seletar,Others,0,2011
Seletar,Seletar Aerospace Park,HDB 1- and 2-Room Flats,0,2011
Seletar,Seletar Aerospace Park,HDB 3-Room Flats,0,2011
Seletar,Seletar Aerospace Park,HDB 4-Room Flats,0,2011
Seletar,Seletar Aerospace Park,HDB 5-Room and Executive Flats,0,2011
Seletar,Seletar Aerospace Park,HUDC Flats (excluding those privatised),0,2011
Seletar,Seletar Aerospace Park,Landed Properties,0,2011
Seletar,Seletar Aerospace Park,Condominiums and Other Apartments,0,2011
Seletar,Seletar Aerospace Park,Others,0,2011
Sembawang,Admiralty,HDB 1- and 2-Room Flats,740,2011
Sembawang,Admiralty,HDB 3-Room Flats,0,2011
Sembawang,Admiralty,HDB 4-Room Flats,4580,2011
Sembawang,Admiralty,HDB 5-Room and Executive Flats,6910,2011
Sembawang,Admiralty,HUDC Flats (excluding those privatised),0,2011
Sembawang,Admiralty,Landed Properties,10,2011
Sembawang,Admiralty,Condominiums and Other Apartments,0,2011
Sembawang,Admiralty,Others,40,2011
Sembawang,Sembawang Central,HDB 1- and 2-Room Flats,0,2011
Sembawang,Sembawang Central,HDB 3-Room Flats,0,2011
Sembawang,Sembawang Central,HDB 4-Room Flats,11540,2011
Sembawang,Sembawang Central,HDB 5-Room and Executive Flats,18200,2011
Sembawang,Sembawang Central,HUDC Flats (excluding those privatised),0,2011
Sembawang,Sembawang Central,Landed Properties,0,2011
Sembawang,Sembawang Central,Condominiums and Other Apartments,180,2011
Sembawang,Sembawang Central,Others,0,2011
Sembawang,Sembawang East,HDB 1- and 2-Room Flats,0,2011
Sembawang,Sembawang East,HDB 3-Room Flats,0,2011
Sembawang,Sembawang East,HDB 4-Room Flats,0,2011
Sembawang,Sembawang East,HDB 5-Room and Executive Flats,0,2011
Sembawang,Sembawang East,HUDC Flats (excluding those privatised),0,2011
Sembawang,Sembawang East,Landed Properties,110,2011
Sembawang,Sembawang East,Condominiums and Other Apartments,0,2011
Sembawang,Sembawang East,Others,0,2011
Sembawang,Sembawang North,HDB 1- and 2-Room Flats,0,2011
Sembawang,Sembawang North,HDB 3-Room Flats,0,2011
Sembawang,Sembawang North,HDB 4-Room Flats,11730,2011
Sembawang,Sembawang North,HDB 5-Room and Executive Flats,14260,2011
Sembawang,Sembawang North,HUDC Flats (excluding those privatised),0,2011
Sembawang,Sembawang North,Landed Properties,0,2011
Sembawang,Sembawang North,Condominiums and Other Apartments,0,2011
Sembawang,Sembawang North,Others,20,2011
Sembawang,Sembawang Springs,HDB 1- and 2-Room Flats,0,2011
Sembawang,Sembawang Springs,HDB 3-Room Flats,0,2011
Sembawang,Sembawang Springs,HDB 4-Room Flats,0,2011
Sembawang,Sembawang Springs,HDB 5-Room and Executive Flats,0,2011
Sembawang,Sembawang Springs,HUDC Flats (excluding those privatised),0,2011
Sembawang,Sembawang Springs,Landed Properties,1940,2011
Sembawang,Sembawang Springs,Condominiums and Other Apartments,1260,2011
Sembawang,Sembawang Springs,Others,380,2011
Sembawang,Sembawang Straits,HDB 1- and 2-Room Flats,0,2011
Sembawang,Sembawang Straits,HDB 3-Room Flats,0,2011
Sembawang,Sembawang Straits,HDB 4-Room Flats,0,2011
Sembawang,Sembawang Straits,HDB 5-Room and Executive Flats,0,2011
Sembawang,Sembawang Straits,HUDC Flats (excluding those privatised),0,2011
Sembawang,Sembawang Straits,Landed Properties,1160,2011
Sembawang,Sembawang Straits,Condominiums and Other Apartments,20,2011
Sembawang,Sembawang Straits,Others,10,2011
Sembawang,Senoko North,HDB 1- and 2-Room Flats,0,2011
Sembawang,Senoko North,HDB 3-Room Flats,0,2011
Sembawang,Senoko North,HDB 4-Room Flats,0,2011
Sembawang,Senoko North,HDB 5-Room and Executive Flats,0,2011
Sembawang,Senoko North,HUDC Flats (excluding those privatised),0,2011
Sembawang,Senoko North,Landed Properties,0,2011
Sembawang,Senoko North,Condominiums and Other Apartments,0,2011
Sembawang,Senoko North,Others,0,2011
Sembawang,Senoko South,HDB 1- and 2-Room Flats,0,2011
Sembawang,Senoko South,HDB 3-Room Flats,0,2011
Sembawang,Senoko South,HDB 4-Room Flats,0,2011
Sembawang,Senoko South,HDB 5-Room and Executive Flats,0,2011
Sembawang,Senoko South,HUDC Flats (excluding those privatised),0,2011
Sembawang,Senoko South,Landed Properties,0,2011
Sembawang,Senoko South,Condominiums and Other Apartments,0,2011
Sembawang,Senoko South,Others,0,2011
Sembawang,The Wharves,HDB 1- and 2-Room Flats,0,2011
Sembawang,The Wharves,HDB 3-Room Flats,0,2011
Sembawang,The Wharves,HDB 4-Room Flats,0,2011
Sembawang,The Wharves,HDB 5-Room and Executive Flats,0,2011
Sembawang,The Wharves,HUDC Flats (excluding those privatised),0,2011
Sembawang,The Wharves,Landed Properties,0,2011
Sembawang,The Wharves,Condominiums and Other Apartments,0,2011
Sembawang,The Wharves,Others,0,2011
Sengkang,Anchorvale,HDB 1- and 2-Room Flats,200,2011
Sengkang,Anchorvale,HDB 3-Room Flats,270,2011
Sengkang,Anchorvale,HDB 4-Room Flats,10350,2011
Sengkang,Anchorvale,HDB 5-Room and Executive Flats,20240,2011
Sengkang,Anchorvale,HUDC Flats (excluding those privatised),0,2011
Sengkang,Anchorvale,Landed Properties,0,2011
Sengkang,Anchorvale,Condominiums and Other Apartments,0,2011
Sengkang,Anchorvale,Others,0,2011
Sengkang,Compassvale,HDB 1- and 2-Room Flats,0,2011
Sengkang,Compassvale,HDB 3-Room Flats,0,2011
Sengkang,Compassvale,HDB 4-Room Flats,11470,2011
Sengkang,Compassvale,HDB 5-Room and Executive Flats,1110,2011
Sengkang,Compassvale,HUDC Flats (excluding those privatised),0,2011
Sengkang,Compassvale,Landed Properties,0,2011
Sengkang,Compassvale,Condominiums and Other Apartments,1680,2011
Sengkang,Compassvale,Others,70,2011
Sengkang,Fernvale,HDB 1- and 2-Room Flats,370,2011
Sengkang,Fernvale,HDB 3-Room Flats,1210,2011
Sengkang,Fernvale,HDB 4-Room Flats,8970,2011
Sengkang,Fernvale,HDB 5-Room and Executive Flats,4510,2011
Sengkang,Fernvale,HUDC Flats (excluding those privatised),0,2011
Sengkang,Fernvale,Landed Properties,1070,2011
Sengkang,Fernvale,Condominiums and Other Apartments,70,2011
Sengkang,Fernvale,Others,360,2011
Sengkang,Lorong Halus North,HDB 1- and 2-Room Flats,0,2011
Sengkang,Lorong Halus North,HDB 3-Room Flats,0,2011
Sengkang,Lorong Halus North,HDB 4-Room Flats,0,2011
Sengkang,Lorong Halus North,HDB 5-Room and Executive Flats,0,2011
Sengkang,Lorong Halus North,HUDC Flats (excluding those privatised),0,2011
Sengkang,Lorong Halus North,Landed Properties,0,2011
Sengkang,Lorong Halus North,Condominiums and Other Apartments,0,2011
Sengkang,Lorong Halus North,Others,0,2011
Sengkang,Rivervale,HDB 1- and 2-Room Flats,0,2011
Sengkang,Rivervale,HDB 3-Room Flats,0,2011
Sengkang,Rivervale,HDB 4-Room Flats,20470,2011
Sengkang,Rivervale,HDB 5-Room and Executive Flats,30460,2011
Sengkang,Rivervale,HUDC Flats (excluding those privatised),0,2011
Sengkang,Rivervale,Landed Properties,250,2011
Sengkang,Rivervale,Condominiums and Other Apartments,5070,2011
Sengkang,Rivervale,Others,0,2011
Sengkang,Sengkang Town Centre,HDB 1- and 2-Room Flats,70,2011
Sengkang,Sengkang Town Centre,HDB 3-Room Flats,390,2011
Sengkang,Sengkang Town Centre,HDB 4-Room Flats,19120,2011
Sengkang,Sengkang Town Centre,HDB 5-Room and Executive Flats,31910,2011
Sengkang,Sengkang Town Centre,HUDC Flats (excluding those privatised),0,2011
Sengkang,Sengkang Town Centre,Landed Properties,240,2011
Sengkang,Sengkang Town Centre,Condominiums and Other Apartments,1290,2011
Sengkang,Sengkang Town Centre,Others,20,2011
Sengkang,Sengkang West,HDB 1- and 2-Room Flats,0,2011
Sengkang,Sengkang West,HDB 3-Room Flats,0,2011
Sengkang,Sengkang West,HDB 4-Room Flats,0,2011
Sengkang,Sengkang West,HDB 5-Room and Executive Flats,0,2011
Sengkang,Sengkang West,HUDC Flats (excluding those privatised),0,2011
Sengkang,Sengkang West,Landed Properties,0,2011
Sengkang,Sengkang West,Condominiums and Other Apartments,0,2011
Sengkang,Sengkang West,Others,0,2011
Serangoon,Lorong Chuan,HDB 1- and 2-Room Flats,0,2011
Serangoon,Lorong Chuan,HDB 3-Room Flats,0,2011
Serangoon,Lorong Chuan,HDB 4-Room Flats,0,2011
Serangoon,Lorong Chuan,HDB 5-Room and Executive Flats,0,2011
Serangoon,Lorong Chuan,HUDC Flats (excluding those privatised),0,2011
Serangoon,Lorong Chuan,Landed Properties,4170,2011
Serangoon,Lorong Chuan,Condominiums and Other Apartments,4180,2011
Serangoon,Lorong Chuan,Others,190,2011
Serangoon,Seletar Hills,HDB 1- and 2-Room Flats,0,2011
Serangoon,Seletar Hills,HDB 3-Room Flats,0,2011
Serangoon,Seletar Hills,HDB 4-Room Flats,0,2011
Serangoon,Seletar Hills,HDB 5-Room and Executive Flats,0,2011
Serangoon,Seletar Hills,HUDC Flats (excluding those privatised),0,2011
Serangoon,Seletar Hills,Landed Properties,10700,2011
Serangoon,Seletar Hills,Condominiums and Other Apartments,1280,2011
Serangoon,Seletar Hills,Others,70,2011
Serangoon,Serangoon Central,HDB 1- and 2-Room Flats,0,2011
Serangoon,Serangoon Central,HDB 3-Room Flats,4830,2011
Serangoon,Serangoon Central,HDB 4-Room Flats,12490,2011
Serangoon,Serangoon Central,HDB 5-Room and Executive Flats,5610,2011
Serangoon,Serangoon Central,HUDC Flats (excluding those privatised),0,2011
Serangoon,Serangoon Central,Landed Properties,1310,2011
Serangoon,Serangoon Central,Condominiums and Other Apartments,3360,2011
Serangoon,Serangoon Central,Others,130,2011
Serangoon,Serangoon Garden,HDB 1- and 2-Room Flats,0,2011
Serangoon,Serangoon Garden,HDB 3-Room Flats,5510,2011
Serangoon,Serangoon Garden,HDB 4-Room Flats,12070,2011
Serangoon,Serangoon Garden,HDB 5-Room and Executive Flats,4600,2011
Serangoon,Serangoon Garden,HUDC Flats (excluding those privatised),910,2011
Serangoon,Serangoon Garden,Landed Properties,15090,2011
Serangoon,Serangoon Garden,Condominiums and Other Apartments,1140,2011
Serangoon,Serangoon Garden,Others,670,2011
Serangoon,Serangoon North,HDB 1- and 2-Room Flats,0,2011
Serangoon,Serangoon North,HDB 3-Room Flats,0,2011
Serangoon,Serangoon North,HDB 4-Room Flats,7490,2011
Serangoon,Serangoon North,HDB 5-Room and Executive Flats,11120,2011
Serangoon,Serangoon North,HUDC Flats (excluding those privatised),0,2011
Serangoon,Serangoon North,Landed Properties,0,2011
Serangoon,Serangoon North,Condominiums and Other Apartments,0,2011
Serangoon,Serangoon North,Others,10,2011
Serangoon,Serangoon North Ind Estate,HDB 1- and 2-Room Flats,0,2011
Serangoon,Serangoon North Ind Estate,HDB 3-Room Flats,0,2011
Serangoon,Serangoon North Ind Estate,HDB 4-Room Flats,0,2011
Serangoon,Serangoon North Ind Estate,HDB 5-Room and Executive Flats,0,2011
Serangoon,Serangoon North Ind Estate,HUDC Flats (excluding those privatised),0,2011
Serangoon,Serangoon North Ind Estate,Landed Properties,0,2011
Serangoon,Serangoon North Ind Estate,Condominiums and Other Apartments,0,2011
Serangoon,Serangoon North Ind Estate,Others,0,2011
Serangoon,Upper Paya Lebar,HDB 1- and 2-Room Flats,370,2011
Serangoon,Upper Paya Lebar,HDB 3-Room Flats,1870,2011
Serangoon,Upper Paya Lebar,HDB 4-Room Flats,5630,2011
Serangoon,Upper Paya Lebar,HDB 5-Room and Executive Flats,2840,2011
Serangoon,Upper Paya Lebar,HUDC Flats (excluding those privatised),0,2011
Serangoon,Upper Paya Lebar,Landed Properties,3040,2011
Serangoon,Upper Paya Lebar,Condominiums and Other Apartments,2770,2011
Serangoon,Upper Paya Lebar,Others,160,2011
Simpang,Pulau Seletar,HDB 1- and 2-Room Flats,0,2011
Simpang,Pulau Seletar,HDB 3-Room Flats,0,2011
Simpang,Pulau Seletar,HDB 4-Room Flats,0,2011
Simpang,Pulau Seletar,HDB 5-Room and Executive Flats,0,2011
Simpang,Pulau Seletar,HUDC Flats (excluding those privatised),0,2011
Simpang,Pulau Seletar,Landed Properties,0,2011
Simpang,Pulau Seletar,Condominiums and Other Apartments,0,2011
Simpang,Pulau Seletar,Others,0,2011
Simpang,Simpang North,HDB 1- and 2-Room Flats,0,2011
Simpang,Simpang North,HDB 3-Room Flats,0,2011
Simpang,Simpang North,HDB 4-Room Flats,0,2011
Simpang,Simpang North,HDB 5-Room and Executive Flats,0,2011
Simpang,Simpang North,HUDC Flats (excluding those privatised),0,2011
Simpang,Simpang North,Landed Properties,0,2011
Simpang,Simpang North,Condominiums and Other Apartments,0,2011
Simpang,Simpang North,Others,0,2011
Simpang,Simpang South,HDB 1- and 2-Room Flats,0,2011
Simpang,Simpang South,HDB 3-Room Flats,0,2011
Simpang,Simpang South,HDB 4-Room Flats,0,2011
Simpang,Simpang South,HDB 5-Room and Executive Flats,0,2011
Simpang,Simpang South,HUDC Flats (excluding those privatised),0,2011
Simpang,Simpang South,Landed Properties,0,2011
Simpang,Simpang South,Condominiums and Other Apartments,0,2011
Simpang,Simpang South,Others,0,2011
Simpang,Tanjong Irau,HDB 1- and 2-Room Flats,0,2011
Simpang,Tanjong Irau,HDB 3-Room Flats,0,2011
Simpang,Tanjong Irau,HDB 4-Room Flats,0,2011
Simpang,Tanjong Irau,HDB 5-Room and Executive Flats,0,2011
Simpang,Tanjong Irau,HUDC Flats (excluding those privatised),0,2011
Simpang,Tanjong Irau,Landed Properties,0,2011
Simpang,Tanjong Irau,Condominiums and Other Apartments,0,2011
Simpang,Tanjong Irau,Others,0,2011
Singapore River,Boat Quay,HDB 1- and 2-Room Flats,0,2011
Singapore River,Boat Quay,HDB 3-Room Flats,0,2011
Singapore River,Boat Quay,HDB 4-Room Flats,0,2011
Singapore River,Boat Quay,HDB 5-Room and Executive Flats,0,2011
